ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
66.0,TIENDAS DEPARTAMENTALES,COPPEL,VASCO DE QUIROGA,1651,,SANTA FE,01210,,Álvaro Obregón,POINT (474802.9106999999 2143121.8115999997)
67.0,CENTRO Y PLAZA COMERCIAL,PATIO Santa Fe,Prol Paseo de la Reforma,400,,Santa Fe ZEDEC,01210,,Álvaro Obregón,POINT (473300.9371999996 2142618.3166000005)
68.0,MIXTO,The point,Prol Paseo de la Reforma,413,,Lomas de Santa Fe ZEDEC,01219,,Álvaro Obregón,POINT (472994.9554000003 2142635.7763)
69.0,CENTRO Y PLAZA COMERCIAL,Plaza Samara,Antonio Dovali Jaime,70,,ZEDEC SANTA FE,01260,,Álvaro Obregón,POINT (472847.85720000044 2141572.0420999993)
70.0,CENTRO Y PLAZA COMERCIAL,PARK PLAZA,JAVIER BARROS SIERRA,540,,ZEDEC SANTA FE,01219,,Álvaro Obregón,POINT (472729.13100000005 2141176.5791999996)
71.0,CENTRO Y PLAZA COMERCIAL,GARDEN SANTA FE,GUILLERMO GONZALEZ CAMARENA,1205,,ZEDEC SANAT FE,01219,,Álvaro Obregón,POINT (472229.78270000033 2141288.3214999996)
72.0,TIENDAS DE AUTOSERVICIO_1,Bodega Aurrera Express,Tamaulipas,1320,,Santa Lucia,01500,,Álvaro Obregón,POINT (473748.92480000015 2140868.2694000006)
73.0,TIENDAS DE AUTOSERVICIO_1,Soriana,Tamaulipas,1236,,Garcimarrero,01510,,Álvaro Obregón,POINT (474620.4565000003 2141263.441400001)
74.0,TIENDAS DE AUTOSERVICIO_1,Bodega Aurrera Express,Vasco de Quiroga,1742,,2 ampliacion de Piru,01230,,Álvaro Obregón,POINT (474576.7344000004 2142936.6293)
75.0,TIENDAS DE AUTOSERVICIO_1,COPPEL,Ernesto P. Uruchurtu,103,,Olivar del Conde,01400,,Álvaro Obregón,POINT (477528.3021 2142067.4619999994)
